"id","asset_name","price","daily_volume","timestamp"
"1","JitoSOL","165.71651853","4036874.04331704","2024-10-02"
"2","INF","179.74225810","2909493.57552678","2024-10-02"
"3","JupSOL","151.16378660","1824291.66341309","2024-10-02"
"4","mSOL","177.37113390","1052384.42052360","2024-10-02"
"5","bbSOL","148.59283408","1020373.05716902","2024-10-02"
"6","bSOL","168.17638633","764844.77637222","2024-10-02"
"7","vSOL","150.06130992","110843.21556464","2024-10-02"
"8","hSOL","149.59171233","81278.37364153","2024-10-02"
"9","LST","194.76037064","64691.43523568","2024-10-02"
"10","bonkSOL","152.29412606","50142.23685211","2024-10-02"
"11","stepSOL","146.96857923","47479.83274108","2024-10-02"
"12","dSOL","152.09628220","29950.40486989","2024-10-02"
"13","hubSOL","151.19017430","26076.88977343","2024-10-02"
"14","rkSOL","157.16133857","25204.08367732","2024-10-02"
"15","lanternSOL","150.29368869","24794.35326760","2024-10-02"
"16","stakeSOL","155.89638019","24149.63642942","2024-10-02"
"17","pwrSOL","153.47496982","21643.77027405","2024-10-02"
"18","stSOL","175.63504272","16364.72053158","2024-10-02"
"19","laineSOL","163.37428710","14146.24858130","2024-10-02"
"20","compassSOL","150.80195864","12824.37252936","2024-10-02"
"21","BNSOL","145.59229318","8319.32382774","2024-10-02"
"22","haSOL","155.67939413","8102.73569565","2024-10-02"
"23","jjupSOL","145.21898293","7378.28413941","2024-10-02"
"24","JSOL","171.77472608","4883.70502231","2024-10-02"
"25","phaseSOL","149.40156358","3565.18682565","2024-10-02"
"26","kumaSOL","153.03030451","3291.85493446","2024-10-02"
"27","jucySOL","148.37709633","2717.41346014","2024-10-02"
"28","picoSOL","152.95886192","2559.76582812","2024-10-02"
"29","strongSOL","151.40436684","1231.69127072","2024-10-02"
"30","pathSOL","145.28778382","1122.79238548","2024-10-02"
"31","healthSOL","145.21898133","1052.89529179","2024-10-02"
"32","clockSOL","156.58230702","NULL","2024-10-02"
"33","daoSOL","162.03475632","NULL","2024-10-02"
"34","zippySOL","153.51114451","NULL","2024-10-02"
"35","superSOL","152.37106940","NULL","2024-10-02"
"36","edgeSOL","165.65833873","NULL","2024-10-02"
"37","cgntSOL","163.31144702","NULL","2024-10-02"
"38","pumpkinSOL","151.57608363","NULL","2024-10-02"
"39","banxSOL","144.98292671","NULL","2024-10-02"
"40","iceSOL","145.24344097","NULL","2024-10-02"
"41","fpSOL","145.34884978","NULL","2024-10-02"
"42","wifSOL","145.19485111","NULL","2024-10-02"
"43","thugSOL","150.02226035","NULL","2024-10-02"
"44","WenSOL","150.11133488","NULL","2024-10-02"
"45","fmSOL","145.42363365","NULL","2024-10-02"
"46","camaoSOL","153.58672258","NULL","2024-10-02"
"47","dainSOL","148.48011190","NULL","2024-10-02"
"48","digitSOL","151.29741836","NULL","2024-10-02"
"49","dlgtSOL","150.12428278","NULL","2024-10-02"
"50","dualSOL","148.77842377","NULL","2024-10-02"
