"date","global_liquidity","bitcoin_price","gold_price"
"2013-12-30","107.11","739","1236.75"
"2014-01-06","107.07","799","1248.05"
"2014-01-13","107.02","819","1253.69"
"2014-01-20","106.98","823","1269.69"
"2014-01-27","106.93","805","1243.94"
"2014-02-03","107.23","701","1266.85"
"2014-02-10","107.52","661","1318.3"
"2014-02-17","107.82","580","1323.95"
"2014-02-24","108.11","550","1324.9"
"2014-03-03","108.2","631","1339.08"
"2014-03-17","108.28","628","1333.3"
"2014-03-24","108.37","571","1293.7"
"2014-03-31","108.45","457","1302.7"
"2014-04-07","108.71","447","1318.1"
"2014-04-14","108.96","460","1294.08"
"2014-04-21","109.22","495","1303.5"
"2014-04-28","109.47","449","1299.6"
"2014-05-05","109.47","440","1289.2"
"2014-05-19","109.46","445","1292.3"
"2014-05-26","109.46","495","1250.5"
"2014-06-02","109.45","626","1252.6"
"2014-06-09","109.67","657","1276.63"
"2014-06-16","109.9","570","1314.1"
"2014-06-23","110.12","596","1315.2"
"2014-06-30","110.34","641","1319.3"
"2014-07-07","110.15","621","1338.4"
"2014-07-14","109.97","619","1310.2"
"2014-07-21","109.78","620","1307.8"
"2014-07-28","109.59","580","1293.8"
"2014-08-04","109.5","587","1309.3"
"2014-08-18","109.41","511","1280.7"
"2014-08-25","109.31","517","1287.01"
"2014-09-01","109.22","478","1268.3"
"2014-09-08","108.75","480","1228.1"
"2014-09-15","108.28","477","1216"
"2014-09-22","107.81","399","1218.8"
"2014-09-29","107.34","387","1190.85"
"2014-10-06","107.26","336","1223.2"
"2014-10-20","107.17","399","1230.9"
"2014-10-27","107.09","384","1172.59"
"2014-11-03","107","337","1177.83"
"2014-11-10","106.86","342","1188.3"
"2014-11-17","106.71","400","1201.28"
"2014-11-24","106.57","350","1167.23"
"2014-12-01","106.42","380","1191.98"
"2014-12-08","106.33","376","1222.32"
"2014-12-15","106.25","354","1195.42"
"2014-12-22","106.16","321","1195.79"
"2014-12-29","106.07","322","1188.43"
"2015-01-05","105.6","298","1222.95"
"2015-01-19","105.14","182","1294.08"
"2015-01-26","104.67","228","1283.09"
"2015-02-02","104.2","216","1233.6"
"2015-02-09","104.29","229","1229.42"
"2015-02-16","104.38","257","1201.58"
"2015-02-23","104.47","246","1212.96"
"2015-03-02","104.56","256","1167.15"
"2015-03-09","104.37","277","1158.02"
"2015-03-16","104.18","283","1182.2"
"2015-03-23","103.99","260","1198.8"
"2015-03-30","103.8","245","1202.52"
"2015-04-06","104.42","254","1207.5"
"2015-04-13","105.04","220","1204.1"
"2015-04-20","105.65","237","1178.97"
"2015-04-27","106.27","236","1178"
"2015-05-04","106.1","237","1187.5"
"2015-05-18","105.93","237","1205.4"
"2015-05-25","105.76","235","1190"
